order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
164375,INDIAN OVERSES BANK KARAD,delivered,21-08-1995,21-08-1995,21-08-1995,21-08-1995,21-08-1995
164376,INDIAN OVERSES BANK KARAD,delivered,29-08-1995,29-08-1995,29-08-1995,29-08-1995,29-08-1995
164377,INDIAN OVERSES BANK KARAD,delivered,31-08-1995,31-08-1995,31-08-1995,31-08-1995,31-08-1995
164378,INDIAN OVERSES BANK KARAD,delivered,31-08-1995,31-08-1995,31-08-1995,31-08-1995,31-08-1995
164379,INDIAN OVERSES BANK KARAD,delivered,31-08-1995,31-08-1995,31-08-1995,31-08-1995,31-08-1995
164380,INDIAN OVERSES BANK KARAD,delivered,31-08-1995,31-08-1995,31-08-1995,31-08-1995,31-08-1995
164381,INDIAN OVERSES BANK KARAD,delivered,01-09-1995,01-09-1995,01-09-1995,01-09-1995,01-09-1995
164382,INDIAN OVERSES BANK KARAD,delivered,01-09-1995,01-09-1995,01-09-1995,01-09-1995,01-09-1995
164383,INDIAN OVERSES BANK KARAD,delivered,08-09-1995,08-09-1995,08-09-1995,08-09-1995,08-09-1995
164384,INDIAN OVERSES BANK KARAD,delivered,08-09-1995,08-09-1995,08-09-1995,08-09-1995,08-09-1995
164385,INDIAN OVERSES BANK KARAD,delivered,13-09-1995,13-09-1995,13-09-1995,13-09-1995,13-09-1995
164386,INDIAN OVERSES BANK KARAD,delivered,18-09-1995,18-09-1995,18-09-1995,18-09-1995,18-09-1995
164387,INDIAN OVERSES BANK KARAD,delivered,25-09-1995,25-09-1995,25-09-1995,25-09-1995,25-09-1995
164388,INDIAN OVERSES BANK KARAD,delivered,29-09-1995,29-09-1995,29-09-1995,29-09-1995,29-09-1995
166756,INDUSEND BANK KARAD,delivered,01-07-1995,01-07-1995,01-07-1995,01-07-1995,01-07-1995
166757,INDUSEND BANK KARAD,delivered,01-07-1995,01-07-1995,01-07-1995,01-07-1995,01-07-1995
166758,INDUSEND BANK KARAD,delivered,01-07-1995,01-07-1995,01-07-1995,01-07-1995,01-07-1995
